FIFA Display Name,Spieler,Minutes_played,POS,DoB,Club,Club_Country,Club_Liga1,Nationalmannschaft,WM_Tore_NM,WM_Gegentore_NM,Tordifferenz,Gruppenphase_1,Gruppenphase_2,Gruppenphase_3,Punkte_Gruppenphase
Steven GERRARD,GERRARD,197,MF,30.05.80,Liverpool FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Wayne ROONEY,ROONEY,194,FW,24.10.85,Manchester United FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Raheem STERLING,STERLING,182,MF,08.12.94,Liverpool FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Joe HART,HART,180,GK,19.04.87,Manchester City FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Glen JOHNSON,JOHNSON,180,DF,23.08.84,Liverpool FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Leighton BAINES,BAINES,180,DF,11.12.84,Everton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Phil JAGIELKA,JAGIELKA,180,DF,17.08.82,Everton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Jordan HENDERSON,HENDERSON,160,MF,17.06.90,Liverpool FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Gaiy CAHILL,CAHILL,159,DF,19.12.85,Chelsea FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Ross BARKLEY,BARKLEY,145,MF,05.12.93,Everton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Danny WELBECK,WELBECK,132,FW,26.11.90,Manchester United FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Adam LALL ANA,LALLANA,91,MF,10.05.88,Southampton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Ben FOSTER,FOSTER,90,GK,03.04.83,West Bromwich Albion FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Luke SHAW,SHAW,90,DF,12.07.95,Southampton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Jack WILSHERE,WILSHERE,90,MF,01.01.92,Arsenal FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Chris SM ALLING,SMALLING,90,DF,22.11.89,Manchester United FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Frank LAMPARD,LAMPARD,90,MF,20.06.78,Chelsea FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Rickie LAMBERT,LAMBERT,3,FW,16.02.82,Southampton FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Hugo LLORIS,LLORIS,450,GK,26.12.86,Tottenham Hotspur FC,ENG,Premier League,France,8,2,6,3,3,1,7
Patrice EVRA,EVRA,360,DF,15.05.81,Manchester United FC,ENG,Premier League,France,8,2,6,3,3,1,7
Mathieu DEBUCHY,DEBUCHY,360,DF,28.07.85,Newcastle United FC,ENG,Premier League,France,8,2,6,3,3,1,7
Mamadou SAKHO,SAKHO,289,DF,13.02.90,Liverpool FC,ENG,Premier League,France,8,2,6,3,3,1,7
Laurent KOSCIELNY,KOSCIELNY,222,DF,10.09.85,Arsenal FC,ENG,Premier League,France,8,2,6,3,3,1,7
Moussa SISSOKO,SISSOKO,214,MF,16.08.89,Newcastle United FC,ENG,Premier League,France,8,2,6,3,3,1,7
Olivier GIROUD,GIROUD,165,FW,30.09.86,Arsenal FC,ENG,Premier League,France,8,2,6,3,3,1,7
Bacaiy SAGNA,SAGNA,90,DF,14.02.83,Arsenal FC,ENG,Premier League,France,8,2,6,3,3,1,7
Morgan SCHNEIDERLIN,SCHNEIDERLIN,90,MF,08.11.89,Southampton FC,ENG,Premier League,France,8,2,6,3,3,1,7
Loic REMY,REMY,28,FW,02.01.87,Newcastle United FC,ENG,Premier League,France,8,2,6,3,3,1,7
MesutOEZIL,OEZIL,655,MF,15.10.88,Arsenal FC,ENG,Premier League,Germany,7,2,5,3,1,3,7
Per MERTESACKER,MERTESACKER,435,DF,29.09.84,Arsenal FC,ENG,Premier League,Germany,7,2,5,3,1,3,7
Andre SCHUERRLE,SCHÜRRLE,244,FW,06.11.90,Chelsea FC,ENG,Premier League,Germany,7,2,5,3,1,3,7
Lukas PODOLSKI,PODOLSKI,54,FW,04.06.85,Arsenal FC,ENG,Premier League,Germany,7,2,5,3,1,3,7
Asamoah GYAN,A. GYAN,270,FW,22.11.85,Al Ain FC,UAE,Premier League,Ghana,4,6,-2,0,1,0,1
Georgios SAMARAS,SAMARAS,390,FW,21.02.85,Celtic FC,SCO,Premier League,Greece,2,4,-2,0,1,3,4
Maynor FIGUEROA,FIGUEROA,270,DF,02.05.83,Hull City,ENG,Premier League,Honduras,1,8,-7,0,0,0,0
Emilio IZAGUIRRE,EMILIO,136,MF,10.05.86,Celtic FC,SCO,Premier League,Honduras,1,8,-7,0,0,0,0
Wilson PALACIOS,W. PALACIOS,133,MF,29.07.84,Stoke City FC,ENG,Premier League,Honduras,1,8,-7,0,0,0,0
Maya YOSHIDA,YOSHIDA,270,DF,24.08.88,Southampton FC,ENG,Premier League,Japan,2,6,-4,0,1,0,1
Shinji KAGAWA,KAGAWA,204,FW,17.03.89,Manchester United FC,ENG,Premier League,Japan,2,6,-4,0,1,0,1
KWAK Taehwi,T H KWAK,0,DF,08.07.81,Al Hilal FC,KSA,Saudi Professional League,Korea Republic,3,6,-3,1,0,0,1
Kl Sungyueng,SY KI,270,MF,24.01.89,Sunderland AFC,ENG,Premier League,Korea Republic,3,6,-3,1,0,0,1
YUN Sukyoung,SY YUN,270,DF,13.02.90,Queens Park Rangers FC,ENG,Premier League,Korea Republic,3,6,-3,1,0,0,1
Javier HERNANDEZ,J HERNANDEZ,75,FW,01.06.88,Manchester United FC,ENG,Premier League,Mexico,4,1,3,3,1,3,7
Ron VLAAR,VLAAR,690,DF,16.02.85,Aston Villa FC,ENG,Premier League,Netherlands,10,3,7,3,3,3,9
Robin VAN PERSIE,V. PERSIE,548,FW,06.08.83,Manchester United FC,ENG,Premier League,Netherlands,10,3,7,3,3,3,9
Jonathan DE GUZMAN,DE GUZMAN,230,MF,13.09.87,Swansea City FC,WAL,Premier League,Netherlands,10,3,7,3,3,3,9
Michel VORM,VORM,1,GK,20.10.83,Swansea City FC,WAL,Premier League,Netherlands,10,3,7,3,3,3,9
Tim KRUL,KRUL,1,GK,03.04.88,Newcastle United FC,ENG,Premier League,Netherlands,10,3,7,3,3,3,9
John Obi MIKEL,MIKEL,360,MF,22.04.87,Chelsea FC,ENG,Premier League,Nigeria,3,3,0,1,3,0,4
Efe AMBROSE,AMBROSE,360,DF,18.10.88,Celtic FC,SCO,Premier League,Nigeria,3,3,0,1,3,0,4
Peter ODEMWINGlE,ODEMWINGIE,281,FW,15.07.81,Stoke City FC,ENG,Premier League,Nigeria,3,3,0,1,3,0,4
Victor MOSES,MOSES,141,FW,12.12.90,Liverpool FC,ENG,Premier League,Nigeria,3,3,0,1,3,0,4
Shola AMEOBI,AMEOBI,63,FW,12.10.81,Newcastle United FC,ENG,Premier League,Nigeria,3,3,0,1,3,0,4
NANI,NANI,270,FW,17.11.86,Manchester United FC,ENG,Premier League,Portugal,4,7,-3,0,1,3,4
David DE GEA,DE GEA,0,GK,07.11.90,Manchester United FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
David SILVA,SILVA,280,MF,08.01.86,Manchester City FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
Cesar AZPILICUETA,AZPILICUETA,180,MF,28.08.89,Chelsea FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
Fernando TORRES,TORRES,144,FW,20.03.84,Chelsea FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
Santi CAZORLA,S. CAZORLA,82,MF,13.12.84,Arsenal FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
Juan MATA,MATA,34,FW,28.04.88,Manchester United FC,ENG,Premier League,Spain,4,7,-3,0,0,3,3
Luis SUAREZ,SUAREZ,178,FW,24.01.87,Liverpool FC,ENG,Premier League,Uruguay,4,4,0,0,3,3,6
Diego LUGANO,LUGANO,90,DF,02.11.80,West Bromwich Albion FC,ENG,Premier League,Uruguay,4,4,0,0,3,3,6
Gaston RAMIREZ,RAMIREZ,49,MF,02.12.90,Southampton FC,ENG,Premier League,Uruguay,4,4,0,0,3,3,6
Brad GUZAN,GUZAN,0,GK,09.09.84,Aston Villa FC,ENG,Premier League,USA,4,4,0,3,1,0,4
Tim HOWARD,HOWARD,390,GK,06.03.79,Everton FC,ENG,Premier League,USA,4,4,0,3,1,0,4
Geoff CAMERON,CAMERON,300,DF,11.07.85,Stoke City FC,ENG,Premier League,USA,4,4,0,3,1,0,4
Jozy ALTI DO RE,ALTIDORE,23,FW,06.11.89,Sunderland AFC,ENG,Premier League,USA,4,4,0,3,1,0,4
Asmir AVDUKIC,AVDUKIC,0,GK,13.05.81,FK Borac Banja Luka,BIH,Premier League,Bosnia and Herzegovina,4,4,0,0,0,3,3
Axel WITSEL,WITSEL,390,MF,12.01.89,FC Zenit St. Petersburg,RUS,Premjer-Liga,Belgium,4,1,3,3,3,3,9
Nicolas LOMBAERTS,LOMBAERTS,90,DF,20.03.85,FC Zenit St. Petersburg,RUS,Premjer-Liga,Belgium,4,1,3,3,3,3,9
HULK,HULK,397,FW,25.07.86,FC Zenit St. Petersburg,RUS,Premjer-Liga,Brazil,7,2,5,3,1,3,7
BERNARD,BERNARD,156,FW,08.09.92,Shakhtar Donetsk,UKR,Premiere League,Brazil,7,2,5,3,1,3,7
Marcos URENA,URENA M.,102,FW,05.03.90,Kuban Krasnodar,RUS,Premjer-Liga,Costa Rica,4,1,3,3,3,1,7
Ognjen VUKOJEVIC,VUKOJEVIC,0,MF,20.12.83,FC Dynamo Kyiv,UKR,Premiere League,Croatia,6,4,2,0,3,0,3
Domagoj VI DA,VIDA,0,DF,29.04.89,FC Dynamo Kyiv,UKR,Premiere League,Croatia,6,4,2,0,3,0,3
Vedran CORLUKA,CORLUKA,270,DF,05.02.86,FC Lokomotiv Moscow,RUS,Premjer-Liga,Croatia,6,4,2,0,3,0,3
Darijo SRNA,SRNA,270,DF,01.05.82,Shakhtar Donetsk,UKR,Premiere League,Croatia,6,4,2,0,3,0,3
Stipe PLETIKOSA,PLETIKOSA,270,GK,08.01.79,FC Rostov,RUS,Premjer-Liga,Croatia,6,4,2,0,3,0,3
EDUARDO,EDUARDO,21,FW,25.02.83,Shakhtar Donetsk,UKR,Premiere League,Croatia,6,4,2,0,3,0,3
Cristhian NOBOA,NOBOA,269,MF,09.04.85,FC Dynamo Moscow,RUS,Premjer-Liga,Ecuador,3,3,0,0,3,1,4
Mohammed RABIU,RABIU,225,MF,31.12.89,Kuban Krasnodar,RUS,Premjer-Liga,Ghana,4,6,-2,0,1,0,1
Jeremain LENS,LENS,127,FW,24.11.87,FC Dynamo Kyiv,UKR,Premiere League,Netherlands,10,3,7,3,3,3,9
Ahmed MUSA,MUSA,335,FW,14.10.92,CSKA Moscow,RUS,Premjer-Liga,Nigeria,3,3,0,1,3,0,4
Michael BABATUNDE,BABATUNDE,141,FW,24.12.92,FC Volyn Lutsk,UKR,Premiere League,Nigeria,3,3,0,1,3,0,4
Luis NETO,NETO,0,DF,26.05.88,FC Zenit St. Petersburg,RUS,Premjer-Liga,Portugal,4,7,-3,0,1,3,4
Miguel VELOSO,MIGUEL,226,MF,11.05.86,FC Dynamo Kyiv,UKR,Premiere League,Portugal,4,7,-3,0,1,3,4
Yury LODYGIN,LODYGIN,0,GK,26.05.90,FC Zenit St. Petersburg,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Georgy SHCHENNIKOV,SHCHENNIKOV,0,DF,27.04.91,CSKA Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Vladimir GRANAT,GRANAT,0,DF,22.05.87,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Roman SHIROKOV,SHIROKOV,0,MF,06.07.81,FC Krasnodar,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Alexey IONOV,IONOV,0,FW,18.02.89,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Alexander KOKORIN,KOKORIN,270,FW,19.03.91,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Vasily BEREZUTSKIY,BEREZUTSKI V.,270,DF,20.06.82,CSKA Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Dmitry KOMBAROV,KOMBAROV,270,DF,22.01.87,FC Spartak Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Alexander SAMEDOV,SAMEDOV,270,FW,19.07.84,FC Lokomotiv Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Victor FAYZU LIN,FAYZULIN,270,MF,22.04.86,FC Zenit St. Petersburg,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Igor AKINFEEV,AKINFEEV,270,GK,08.04.86,CSKA Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Sergey IGNASHEVICH,IGNASHEVICH,270,DF,14.07.79,CSKA Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Oleg SHATOV,SHATOV,209,MF,29.07.90,FC Zenit St. Petersburg,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Denis GLUSHAKOV,GLUSHAKOV,208,MF,27.01.87,FC Spartak Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Aleksei KOZLOV,KOZLOV,152,DF,25.12.86,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Aleksandr KERZHAKOV,KERZHAKOV,101,FW,27.11.82,FC Zenit St. Petersburg,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Yury ZHIRKOV,ZHIRKOV,71,FW,20.08.83,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Igor DENISOV,DENISOV,62,MF,17.05.84,FC Dynamo Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Alan DZAGOEV,DZAGOEV,61,MF,17.06.90,CSKA Moscow,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Mubarak WAKASO,WAKASO,27,MF,25.07.90,FC Rubin Kazan,RUS,Premjer-Liga,Ghana,4,6,-2,0,1,0,1
Sergey RYZHIKOV,RYZHIKOV,0,GK,19.09.80,FC Rubin Kazan,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Andrey SEMENOV,SEMENOV,0,DF,24.03.89,FC Tenek Grozny,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
Maksim KANUNNIKOV,KANUNNIKOV,99,FW,14.07.91,FK Amkar Perm,RUS,Premjer-Liga,Russia,2,3,-1,1,0,1,2
ToniSUNJIC,SUNJIC,180,DF,15.12.88,FC Zorya Lugansk,UKR,Premiere League,Bosnia and Herzegovina,4,4,0,0,0,3,3
Sofiane FEGHOULI,FEGHOULI,390,FW,26.12.89,Valencia CF,ESP,Primera Division,Algeria,6,5,1,0,3,1,4
Yacine BRAHIMI,BRAHIMI,190,MF,08.02.90,Granada CF,ESP,Primera Division,Algeria,6,5,1,0,3,1,4
Medhi LACEN,LACEN,152,MF,15.03.84,Getafe CF,ESP,Primera Division,Algeria,6,5,1,0,3,1,4
Augusto FERN ANDEZ,FERNANDEZ A.,0,MF,10.04.86,Celta Vigo,ESP,Primera Division,Argentina,6,3,3,3,3,3,9
Javier MASCHER ANO,MASCHERANO,720,MF,08.06.84,FC Barcelona,ESP,Primera Division,Argentina,6,3,3,3,3,3,9
Lionel MESSI,MESSI,693,FW,24.06.87,FC Barcelona,ESP,Primera Division,Argentina,6,3,3,3,3,3,9
Angel DI MARIA,DI MARIA,423,MF,14.02.88,Real Madrid CF,ESP,Primera Division,Argentina,6,3,3,3,3,3,9
Thibaut COURTOIS,COURTOIS,480,GK,11.05.92,Atletico Madrid,ESP,Primera Division,Belgium,4,1,3,3,3,3,9
Toby ALDERWEIRELD,ALDERWEIRELD,390,DF,02.03.89,Atletico Madrid,ESP,Primera Division,Belgium,4,1,3,3,3,3,9
MARCELO,MARCELO,570,DF,12.05.88,Real Madrid CF,ESP,Primera Division,Brazil,7,2,5,3,1,3,7
NEYMAR,NEYMAR JR,457,FW,05.02.92,FC Barcelona,ESP,Primera Division,Brazil,7,2,5,3,1,3,7
Dani ALVES,DANI ALVES,390,DF,06.05.83,FC Barcelona,ESP,Primera Division,Brazil,7,2,5,3,1,3,7
Stephane MBIA,MBIA,270,MF,20.05.86,Sevilla FC,ESP,Primera Division,Cameroon,1,9,-8,0,0,0,0
Alexandre SONG,SONG A,119,MF,09.09.87,FC Barcelona,ESP,Primera Division,Cameroon,1,9,-8,0,0,0,0
Allan NYOM,NYOM,90,DF,10.05.88,Granada CF,ESP,Primera Division,Cameroon,1,9,-8,0,0,0,0
Fabian ORELLANA,ORELLANA,0,FW,27.01.86,Celta Vigo,ESP,Primera Division,Chile,5,3,2,3,3,0,6
Alexis SANCHEZ,ALEXIS,390,FW,19.12.88,FC Barcelona,ESP,Primera Division,Chile,5,3,2,3,3,0,6
Eduardo VAR GAS,VARGAS,311,FW,20.11.89,Valencia CF,ESP,Primera Division,Chile,5,3,2,3,3,0,6
Carlos BACCA,BACCA,20,FW,08.09.86,Sevilla FC,ESP,Primera Division,Colombia,9,2,7,3,3,3,9
Luka MODRIC,MODRIC,270,MF,09.09.85,Real Madrid CF,ESP,Primera Division,Croatia,6,4,2,0,3,0,3
Ivan RAKI TIC,RAKITIC,270,MF,10.03.88,Sevilla FC,ESP,Primera Division,Croatia,6,4,2,0,3,0,3
SAMMIR,SAMMIR,72,MF,23.04.87,Getafe CF,ESP,Primera Division,Croatia,6,4,2,0,3,0,3
Karim BENZEMA,BENZEMA,450,FW,19.12.87,Real Madrid CF,ESP,Primera Division,France,8,2,6,3,3,1,7
Raphael VAR AN E,VARANE,389,DF,25.04.93,Real Madrid CF,ESP,Primera Division,France,8,2,6,3,3,1,7
Sami KHEDIRA,KHEDIRA,376,MF,04.04.87,Real Madrid CF,ESP,Primera Division,Germany,7,2,5,3,1,3,7
Orestis KARNEZIS,KARNEZIS,324,GK,11.07.85,Granada CF,ESP,Primera Division,Greece,2,4,-2,0,1,3,4
Giovani DOS SANTOS,G DOS SANTOS,297,FW,11.05.89,Villarreal CF,ESP,Primera Division,Mexico,4,1,3,3,1,3,7
Javier AQUI NO,J AQUINO,29,MF,11.02.90,Villarreal CF,ESP,Primera Division,Mexico,4,1,3,3,1,3,7
CRISTIANO RONALDO,RONALDO,270,FW,05.02.85,Real Madrid CF,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
Joao PER El RA,J. PEREIRA,241,DF,25.02.84,Valencia CF,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
BETO,BETO,179,GK,01.05.82,Sevilla FC,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
Ricardo COSTA,R. COSTA,134,DF,16.05.81,Valencia CF,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
PEPE,PEPE,127,DF,26.02.83,Real Madrid CF,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
Fabio COENTRAO,F. COENTRAO,65,DF,11.03.88,Real Madrid CF,ESP,Primera Division,Portugal,4,7,-3,0,1,3,4
Iker CASILLAS,I. CASILLAS,180,GK,20.05.81,Real Madrid CF,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Andres INIESTA,A. INIESTA,270,MF,11.05.84,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Jordi ALBA,JORDI ALBA,270,DF,21.03.89,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Sergio RAMOS,RAMOS,270,DF,30.03.86,Real Madrid CF,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Xabi ALONSO,ALONSO,191,MF,25.11.81,Real Madrid CF,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Sergio BUSQUETS,SERGIO,180,MF,16.07.88,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
KOKE,KOKE,134,MF,08.01.92,Atletico Madrid,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Diego COSTA,DIEGO COSTA,126,FW,07.10.88,Atletico Madrid,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Pedro RODRIGUEZ,PEDRO,104,FW,28.07.87,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Gerard PIQUE,PIQUE,90,DF,02.02.87,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Xavi HERNANDEZ,XAVI,90,MF,25.01.80,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
JUANFRAN,JUANFRAN,90,DF,09.01.85,Atletico Madrid,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Dayid VILLA,DAVID VILLA,56,FW,03.12.81,Atletico Madrid,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Cesc FABREGAS,FABREGAS,34,MF,04.05.87,FC Barcelona,ESP,Primera Division,Spain,4,7,-3,0,0,3,3
Philippe SENDEROS,SENDEROS,81,DF,14.02.85,Valencia CF,ESP,Primera Division,Switzerland,7,6,1,3,0,3,6
Diego GODIN,GODIN,360,DF,16.02.86,Atletico Madrid,ESP,Primera Division,Uruguay,4,4,0,0,3,3,6
Cristian RODRIGUEZ,C. RODRIGUEZ,334,MF,30.09.85,Atletico Madrid,ESP,Primera Division,Uruguay,4,4,0,0,3,3,6
Jose GIMENEZ,J.M. GIMENEZ,270,DF,20.01.95,Atletico Madrid,ESP,Primera Division,Uruguay,4,4,0,0,3,3,6
Keylor NAVAS,NAVAS K.,510,GK,15.12.86,Levante,ESP,Primera Division,Costa Rica,4,1,3,3,3,1,7
Loukas VYNTRA,VYNTRA,0,DF,05.02.81,Levante,ESP,Primera Division,Greece,2,4,-2,0,1,3,4
Hector MORENO,H MORENO,316,DF,17.01.88,Espanyol,ESP,Primera Division,Mexico,4,1,3,3,1,3,7
Cristhian STUANI,STUANI,177,FW,12.10.86,Espanyol,ESP,Primera Division,Uruguay,4,4,0,0,3,3,6
Agustin ORION,ORION,0,GK,26.07.81,CA Boca Juniors,ARG,Primera Division,Argentina,6,3,3,3,3,3,9
Maxi RODRIGUEZ,RODRIGUEZ,399,MF,02.01.81,CA Newell's Old Boys,ARG,Primera Division,Argentina,6,3,3,3,3,3,9
Fernando GAGO,GAGO,373,MF,10.04.86,CA Boca Juniors,ARG,Primera Division,Argentina,6,3,3,3,3,3,9
Cristopher TOSELLI,TOSELLI,0,GK,15.06.88,CD Universidad Catolica,CHI,Primera Division Nacional,Chile,5,3,2,3,3,0,6
Johnny HERRERA,HERRERA,0,GK,09.05.81,Club Universidad de Chile,CHI,Primera Division Nacional,Chile,5,3,2,3,3,0,6
Jose FU ENZ ALI DA,FUENZALIDA,0,MF,22.02.85,CSD Colo0Colo,CHI,Primera Division Nacional,Chile,5,3,2,3,3,0,6
Esteban PAREDES,PAREDES,270,FW,01.08.80,CSD Colo0Colo,CHI,Primera Division Nacional,Chile,5,3,2,3,3,0,6
Jose ROJAS,ROJAS,12,DF,23.06.83,Club Universidad de Chile,CHI,Primera Division Nacional,Chile,5,3,2,3,3,0,6
Rodrigo MUNOZ,MUNOZ,0,GK,22.01.82,Club Libertad,PAR,Primera Division,Uruguay,4,4,0,0,3,3,6
Mark BRESCIANO,BRESCIANO,147,MF,11.02.80,AI Gharafa SC,QAT,Stars League,Australia,3,9,-6,0,0,0,0
Christian BOLANOS,BOLANOS C.,413,MF,17.05.84,FC Kobenhavn,DEN,Danish Superliga,Costa Rica,4,1,3,3,3,1,7
Liassine CADAMURO,CADAMURO,0,DF,05.03.88,RCD Mallorca,ESP,Segunda Division,Algeria,6,5,1,0,3,1,4
Masoud SHOJAEI,MASOUD SH,123,FW,09.06.84,UD Las Palmas,ESP,Segunda Division,Iran,1,4,-3,1,0,0,1
Faouzi GHOULAM,GHOULAM,210,DF,01.02.91,SSC Napoli,ITA,Serie A,Algeria,6,5,1,0,3,1,4
Saphir TAI DER,TAIDER,168,MF,29.02.92,FC Internazionale Milano,ITA,Serie A,Algeria,6,5,1,0,3,1,4
Hassan YEBDA,YEBDA,19,MF,14.05.84,Udinese Calcio,ITA,Serie A,Algeria,6,5,1,0,3,1,4
Gonzalo HIGUAIN,HIGUAIN,571,FW,10.12.87,SSC Napoli,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Federico FERN AN DEZ,FERNANDEZ F.,390,DF,21.02.89,SSC Napoli,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Lucas BIGLIA,BIGLIA,349,MF,30.01.86,SS Lazio,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Rodrigo PALACIO,PALACIO,160,FW,05.02.82,FC Internazionale Milano,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Hugo CAMPAGNARO,CAMPAGNARO,46,DF,27.06.80,FC Internazionale Milano,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Ricardo ALVAREZ,ALVAREZ,27,MF,12.04.88,FC Internazionale Milano,ITA,Serie A,Argentina,6,3,3,3,3,3,9
Dries MERTENS,MERTENS,269,MF,06.05.87,SSC Napoli,ITA,Serie A,Belgium,4,1,3,3,3,3,9
Miralem PJANIC,PJANIC,270,MF,02.04.90,AS Roma,ITA,Serie A,Bosnia and Herzegovina,4,4,0,0,0,3,3
Senad LULIC,LULIC,148,MF,18.01.86,SS Lazio,ITA,Serie A,Bosnia and Herzegovina,4,4,0,0,0,3,3
MAICON,MAICON,270,DF,26.07.81,AS Roma,ITA,Serie A,Brazil,7,2,5,3,1,3,7
HERNANES,HERNANES,64,MF,29.05.85,FC Internazionale Milano,ITA,Serie A,Brazil,7,2,5,3,1,3,7
HENRIQUE,HENRIQUE,2,DF,14.10.86,SSC Napoli,ITA,Serie A,Brazil,7,2,5,3,1,3,7
Mauricio ISLA,ISLA,390,DF,12.06.88,Juventus FC,ITA,Serie A,Chile,5,3,2,3,3,0,6
Arturo VI DAL,VIDAL,235,MF,22.05.87,Juventus FC,ITA,Serie A,Chile,5,3,2,3,3,0,6
Mauricio PINILLA,PINILLA,44,FW,04.02.84,Cagliari Calcio,ITA,Serie A,Chile,5,3,2,3,3,0,6
Carlos CARMONA,CARMONA,2,MF,21.02.87,Atalanta Bergamo,ITA,Serie A,Chile,5,3,2,3,3,0,6
Juan CUADRADO,CUADRADO,387,MF,26.05.88,ACF Fiorentina,ITA,Serie A,Colombia,9,2,7,3,3,3,9
Cristian ZAPATA,C. ZAPATA,360,DF,30.09.86,AC Milan,ITA,Serie A,Colombia,9,2,7,3,3,3,9
Juan ZUNIGA,J. ZUNIGA,360,DF,14.12.85,SSC Napoli,ITA,Serie A,Colombia,9,2,7,3,3,3,9
Mario YEPES,YEPES,360,DF,13.01.76,Atalanta Bergamo,ITA,Serie A,Colombia,9,2,7,3,3,3,9
Victor IBARBO,IBARBO,189,FW,19.05.90,Cagliari Calcio,ITA,Serie A,Colombia,9,2,7,3,3,3,9
Fredy GUARIN,GUARIN,189,MF,30.06.86,FC Internazionale Milano,ITA,Serie A,Colombia,9,2,7,3,3,3,9
GERVINHO,GERVINHO,263,FW,27.05.87,AS Roma,ITA,Serie A,Cote d'Ivoire,4,5,-1,3,0,0,3
Sime VRSALJKO,VRSALJKO,148,DF,10.01.92,Genoa CFC,ITA,Serie A,Croatia,6,4,2,0,3,0,3
Mateo KOVACIC,KOVACIC,111,MF,06.05.94,FC Internazionale Milano,ITA,Serie A,Croatia,6,4,2,0,3,0,3
Ante REBIC,REBIC,44,FW,21.09.93,ACF Fiorentina,ITA,Serie A,Croatia,6,4,2,0,3,0,3
